,up0,up15,up30,up45,up60,down60,down45,down30,down15,down0
Mean,203.39980749352446,136.0402088794385,124.1337229981487,119.19586088500063,110.98729900926462,113.39928166457874,108.8467606508974,117.59775745637967,109.2238769082977,101.81324301456644
Variance,142.8006845108948,368.3868912968825,500.3569032685816,340.8380014394215,229.8617505421682,115.24442355829082,152.64225265224175,355.4714237666196,267.89857408322507,99.8525909911922
Skewness,-1.3231924952259282,0.8080370443788591,0.3615560517943365,0.3281397080535298,-0.11307963972402368,0.030094959283509255,-0.058313705200069926,0.5280915299441052,0.6424838272479214,0.39340791963963495
Kurtosis,1.9017758451080642,0.8434836927598304,0.5917750747973023,0.12843529117608243,-0.3543935431149725,-0.35178859833473686,-0.35848776445496844,1.0156656416081402,0.8736470839177786,1.1935656225239697
