,up0,up15,up30,up45,up60,down60,down45,down30,down15,down0
Mean,160.8047323474315,121.52732123289832,126.61286943991355,132.6047611638418,135.60033907960522,128.53677118240086,135.46155793926175,131.62886201639463,133.19562692628224,144.5238498557847
Variance,268.4114376734716,444.02425119011735,274.60901676694954,317.87561222346466,237.88240152177613,346.4910218319775,138.4816644223114,155.67287549071946,248.7373989096445,47.767951509865725
Skewness,-1.7933956056031302,-0.03209930471140409,0.07612680908221435,-0.008075872266846982,-0.01927499947640596,-0.46894573011450114,0.0360491081511217,-0.15659368868404347,-0.11100875898070571,0.021489233675763317
Kurtosis,1.8649215315177798,-0.37484707413154617,-0.3075406802778531,-0.4794918758520965,-0.10367320883839337,-0.04575222730425388,-0.24328014346244276,0.1109784735730881,0.128821363419668,-0.8809722465512433
