,up0,up15,up30,up45,up60,down60,down45,down30,down15,down0
Mean,146.21128453235093,124.553976892916,125.43234561295544,120.69041528865023,117.79916120280456,109.22685482228071,129.62416975061987,130.7507606367333,133.08486801268225,109.54317672321653
Variance,173.84473201865146,256.3067325126505,245.87843160057162,433.4740702608716,242.58565082458878,272.6043694959161,282.65422934886413,226.0198959154499,173.8482417063311,132.42372789088046
Skewness,0.28114869874805415,0.25023490839351553,-0.092117899740014,-0.17976095550266952,0.13009711810490107,0.4146073945817189,-0.10789974655378332,-0.14620069989196177,0.07867948119029752,-0.28310528655268685
Kurtosis,0.052455643277296016,-0.0003511367095789808,0.17937256457039608,0.05296941237340835,-0.6816916640636097,-0.5798365860364045,-0.3885231947918677,0.305623734416439,0.32821509566435214,-0.16452397507960104
