,up0,up15,up30,up45,up60,down60,down45,down30,down15,down0
Mean,168.6279404127509,158.35122755483934,162.8779755311181,165.7238705348554,158.5474557492951,148.11342439785855,150.03315154693166,146.06935563204047,141.64057393555666,150.10151773446705
Variance,35.25843276323609,153.1044088176799,155.92805248957416,186.34614409778163,359.74360302868615,227.3231644291383,180.19842854923124,183.2426729594172,139.78259392952629,17.953297967107414
Skewness,-0.807328172069463,0.39195199218352383,-0.057351317881578476,-0.423042662320944,-0.33061779887617865,-0.08427910005972321,0.29215080191074866,0.3093631620580056,-0.0058070013969838095,-0.5897084936085359
Kurtosis,-1.0262311231861094,0.16110219085698185,0.26254264026285634,0.8164340164462085,-0.36508918385503586,-0.3165271962634444,-0.07520318958754402,-0.018387371189564572,-0.4667519985794102,0.09197145995058209
